"amount","status","block_timestamp","block","wallet_from","wallet_to","hash_tx","confirmed","contract_type","contractType","revert","contract_ret","event_type","issue_address","decimals","exchange_from","exchange_to","is_sent_to_exchange","direction","updated_at","wallet_from_id","wallet_to_id"
"27287574992","-5","1658623572000","42682123","TL2_97KeDMFPhch9GtHwkuuXbIuKxWd8Fb","TL3_8I1foqYajoqc28ak9vRQZwL93xMVzl","35f1419b14151830d8c7cea311b4bc8c2108c03e7a871955f5512bf6a16268b2","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","355","868"
"9195726430","-5","1658623672000","42682124","TL4_aJXjeDQQuTDs3GwLmPpb1yBgLDfngo","TL5_XdxW2Cq3uRHNRyISlA97L0IaIOv8To","40e604f47727315a3be87a88e285e2609f272571efcf79d86d464a507310d50b","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","182","674"
"19061707847","-5","1658623772000","42682125","TL0_rnp87INqOT9hESBPknZ8xm0pZOvOPX","TL1_FZmAxOTkGq0M3ZRf9yIxwTOhr09xnb","f907ae6c563410b4c927cb1a01ca72c6e9e6f40d0f6e2642da99790050be7e20","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","261","588"
"16527224288","-5","1658623872000","42682126","TL4_kxsyrx8U8tKiuECnHQBglQw200pLGW","TL5_RuTdm7ZGJjsjLaI5Hek98230GeJ33I","1430097b1131276385d2095151a44059c7b8dc67b8bb8ff37eb6627bad445350","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","323","988"
"31036833231","-5","1658623972000","42682127","TL1_VfD4h8bUyXdrstR4btiWZPhpGgg4k6","TL2_6yCq6qFzdBg7XAcc2MTZay6tgrFZpE","79032527dbcecbf4cf9bfc26831cf174edc8a327cdcc1a6248ea25f5b07ecb44","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","39","841"
"32758152862","-5","1658624072000","42682128","TL0_k6Z1kmnMZcOpr1Xp59BGbnYn8u80cE","TL1_zrAJlSW3BxWbhzUQBvbE1HVUHxiOYm","7e5983b9160af3041d5867c1e99fcf51c111c7fd9d38962cd1ede0634c2a03b0","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","79","534"
"16235385481","-5","1658624172000","42682949","TL4_aJXjeDQQuTDs3GwLmPpb1yBgLDfngo","TL5_cjFA5wnEyo91hDmf5PiHCNZ7yKGpS6","b5722996a5570665beffd2167ff325ee0573e3d05b6486c9074d9432ef540a95","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","143","822"
"46569655214","-5","1658624272000","42682950","TL2_97KeDMFPhch9GtHwkuuXbIuKxWd8Fb","TL3_rn5fyj5a3PDPOXVlOqzSUtYLhMlYiZ","c43cfb721ee910a2f30fb4e4b164ad5fbaaf46d3ed3c2c37625566ac9ecdca4d","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","340","802"
"49326531328","-5","1658624372000","42682951","TL2_KiQjOWGPigo5c5e6Wm6aJTHt4GaI7t","TL3_BzwXtvwR2HDoI9lp0SXLZJy66Pk545","d55eea4c7edc40de5a2dae9d91b7d51f54b364f7933a3c2973dfe350cfe37c01","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","156","529"
"5842477469","-5","1658624472000","42682952","TL1_sA88V1iQXNZN9Q1W9J1BK3xTnoXSP8","TL2_97KeDMFPhch9GtHwkuuXbIuKxWd8Fb","ce190861ec3279d89868f19ffe43e45cef053b8c8fec37b31e750c629284d036","1","TriggerSmartContract","31","0","SUCCESS","Transfer","xyz","6","","","0","1","","289","616"
